id,code,variant,name,alias,category,rate_basis,k1_low,k1_high,k2_low,k2_high,k3_low,k3_high,source
2913,2913,,Tar sprayers and road surfacing plants,Tar sprayer / asphalt surfacing,Construction,construction,1.376,1.72,2.064,2.58,2.752,3.44,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2914,2914,,Construction firms - Others,Konstruksi lainnya,Construction,construction,1.494,1.867,2.241,2.801,2.987,3.734,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2915,2915,,Welding Plants,Workshop las,Construction,construction,2.263,2.828,3.394,4.243,4.526,5.657,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2921,2921,,Film / television / magnetic tape studios,Studio film / televisi / rekaman,Media,construction,0.982,1.227,1.473,1.841,1.963,2.454,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2922,2922,,Film reproduction and photo treatment,Reproduksi film / foto,Media,construction,0.516,0.645,0.774,0.968,1.032,1.29,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2923,2923,,Cinemas / assembly rooms / concert halls,Bioskop / aula / concert hall,Media,construction,0.602,0.752,0.903,1.128,1.204,1.505,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2924,2924,,Theatres / variety theatres / permanent circuses,Teater / pertunjukan permanen,Media,construction,0.862,1.077,1.292,1.615,1.723,2.154,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2925,2925,,Circuses with big top / show and exhibition tents,Sirkus / tenda pameran,Media,construction,9.6,12.0,14.4,18.0,19.2,24.0,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2926,2926,,Mass communication - Others,Media lainnya,Media,construction,1.893,2.366,2.839,3.549,3.786,4.732,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2927,2927,,Radio/TV broadcasting and relay stations / towers,Stasiun radio/TV / tower,Telecommunication,construction,0.59,0.738,0.885,1.106,1.18,1.475,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2928,2928,,Automatic telecommunication exchange / wartel,STO / wartel,Telecommunication,construction,0.645,0.806,0.968,1.21,1.29,1.613,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2929,2929,,Telecommunication operator / transmission facilities,Operator telekomunikasi,Telecommunication,construction,0.59,0.738,0.886,1.107,1.181,1.476,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29291,29291,,Data center,Data center,Telecommunication,construction,0.538,0.672,0.806,1.008,1.075,1.344,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2930,2930,,Drug Store (apotek),Apotek,Trading,construction,0.889,1.112,1.334,1.667,1.778,2.223,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29311,29311,,Department stores > 200m2,Department store >200m2,Trading,construction,1.028,1.285,1.541,1.927,2.055,2.569,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29312,29312,,Supermarket > 200m2,Supermarket >200m2,Trading,construction,0.76,0.949,1.139,1.424,1.519,1.899,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29313-Grade_A,29313,Grade A,Shopping mall / center,Mall / shopping center - Grade A,Trading,construction,0.893,1.117,1.34,1.675,1.787,2.234,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29313-Grade_B,29313,Grade B,Shopping mall / center,Mall / shopping center - Grade B,Trading,construction,2.234,2.792,3.35,4.188,4.467,5.584,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29314,29314,,Grocery Store,Toko kelontong / grocery,Trading,construction,0.646,0.807,0.968,1.211,1.291,1.614,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2932,2932,,Mail Order Houses / online shopping,Online shopping / fulfillment,Trading,construction,1.673,2.091,2.51,3.137,3.346,4.183,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2933,2933,,Chain stores / convenience / grocery <200m2,Minimarket / convenience store <200m2,Trading,construction,2.474,3.093,3.711,4.639,4.948,6.186,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2934,2934,,"Shops, non chain store",Toko / ruko usaha non-chain,Trading,construction,1.52,1.9,2.28,2.85,3.04,3.8,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2935,2935,,Traditional market risks,Pasar tradisional,Trading,construction,6.0,22.5,27.0,33.75,36.0,45.0,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2936,2936,,Trading and storage - Others,Perdagangan / penyimpanan lainnya,Trading,construction,7.222,9.028,10.833,13.542,14.444,18.056,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29371,29371,,Private Warehouses,Gudang privat,Warehouse,construction,1.127,1.26,1.691,1.89,2.255,2.52,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29378,29378,,Public Warehouses,Gudang publik,Warehouse,construction,2.255,2.52,3.382,3.78,4.509,5.04,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29383,29383,,Petrol / Diesel Fuel Stations,SPBU bensin / diesel,Trading,construction,1.23,1.538,1.846,2.307,2.461,3.076,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29384,29384,,LNG Stations for Automobiles,SPBG / LNG kendaraan,Trading,construction,1.415,1.769,2.122,2.653,2.83,3.537,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29385,29385,,Storage tanks - Others,Tangki penyimpanan lainnya,Warehouse,construction,1.6,1.999,2.399,2.999,3.199,3.999,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29394,29394,,Bonded Warehouses,Gudang berikat,Warehouse,construction,2.004,2.24,3.006,3.36,4.008,4.48,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29395,29395,,Permanent show rooms without repair/workshop,Showroom permanen tanpa workshop,Trading,construction,1.52,1.9,2.28,2.85,3.04,3.8,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29411,29411,,Hotels / motels / inns certified below 3 star,Hotel < 3 bintang,Hospitality,construction,0.886,0.99,1.329,1.485,1.772,1.98,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29412,29412,,Hotels / motels / inns certified 3 star and above,Hotel >= 3 bintang,Hospitality,construction,0.483,0.54,0.725,0.81,0.966,1.08,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2942,2942,,Night clubs / dance halls / discotheques / bars / billiards / karaoke,Night club / bar / karaoke,Hospitality,construction,10.574,13.218,15.861,19.826,21.148,26.435,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29431,29431,,Swimming pools / waterpark,Kolam renang / waterpark,Hospitality,construction,0.753,0.842,1.13,1.262,1.506,1.683,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29432,29432,,Sport stadium / sport centre / fitness / gym,Stadion / fitness / gym,Hospitality,construction,0.886,0.99,1.329,1.485,1.772,1.98,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
29433,29433,,Private club house / golf club house,Club house / golf club,Hospitality,construction,0.62,0.693,0.93,1.04,1.24,1.386,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2944,2944,,Hotels/entertainment/sport/services - Others,Jasa / hiburan lainnya,Hospitality,construction,3.042,3.803,4.564,5.705,6.085,7.606,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2945,2945,,Restaurants / eating and drinking places - permanent building,Restoran / rumah makan permanen,Hospitality,construction,1.479,1.849,2.218,2.773,2.958,3.697,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2946,2946,,Stalls / huts / kedai / warung makan - non permanent,Kedai / warung makan non permanen,Hospitality,construction,2.278,2.848,3.418,4.272,4.557,5.696,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2947,2947,,Beauty salon / hair dresser / barber shops,Salon / barber shop,Services,construction,0.781,0.976,1.171,1.464,1.562,1.952,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2949,2949,,Recreation areas and cultural centre,Area rekreasi / pusat budaya,Hospitality,construction,2.646,3.307,3.969,4.961,5.292,6.615,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2951,2951,,Sanatorium / hospitals / doctor rooms / old people and children homes,Rumah sakit / klinik / panti,Healthcare,construction,0.378,0.472,0.51,0.637,0.642,0.802,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2952,2952,,Religious facilities,Masjid / gereja / pura / fasilitas ibadah,Public,construction,0.352,0.44,0.475,0.594,0.598,0.748,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2953,2953,,Schools / universities / training colleges,Sekolah / universitas / tempat pelatihan,Education,construction,0.386,0.483,0.521,0.651,0.656,0.82,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
